Ulasan,Tanggal_Ulasan,Label,lokasi,tokens,normalisasi,stopword
tempatnya keren cuma mungkin akses jalannya perlu diperbaiki ya pengelolaannya juga kalau lebih bagus lagi tempat ini akan jadi lebih baik dan tentunya akan banyak mengundang wisatawan,4 tahun lalu,Positif,bukit jaddih,"['tempatnya', 'keren', 'cuma', 'mungkin', 'akses', 'jalannya', 'perlu', 'diperbaiki', 'ya', 'pengelolaannya', 'juga', 'kalau', 'lebih', 'bagus', 'lagi', 'tempat', 'ini', 'akan', 'jadi', 'lebih', 'baik', 'dan', 'tentunya', 'akan', 'banyak', 'mengundang', 'wisatawan']","['tempatnya', 'keren', 'cuma', 'mungkin', 'akses', 'jalannya', 'perlu', 'diperbaiki', 'iya', 'pengelolaannya', 'juga', 'kalau', 'lebih', 'bagus', 'lagi', 'tempat', 'ini', 'akan', 'jadi', 'lebih', 'baik', 'dan', 'tentunya', 'akan', 'banyak', 'mengundang', 'wisatawan']","['tempatnya', 'keren', 'cuma', 'mungkin', 'akses', 'jalannya', 'perlu', 'diperbaiki', 'iya', 'pengelolaannya', 'juga', 'kalau', 'lebih', 'bagus', 'lagi', 'tempat', 'ini', 'akan', 'jadi', 'lebih', 'baik', 'dan', 'tentunya', 'akan', 'banyak', 'mengundang', 'wisatawan']"
alhamdulillaah sampai juga di bukit jaddih bangkalan pulau madura tempatnya potensial untuk wisata namun pengembangan wisatanya perlu ditingkatkan,4 tahun lalu,Positif,bukit jaddih,"['alhamdulillaah', 'sampai', 'juga', 'di', 'bukit', 'jaddih', 'bangkalan', 'pulau', 'madura', 'tempatnya', 'potensial', 'untuk', 'wisata', 'namun', 'pengembangan', 'wisatanya', 'perlu', 'ditingkatkan']","['alhamdulillaah', 'sampai', 'juga', 'di', 'bukit', 'jaddih', 'bangkalan', 'pulau', 'madura', 'tempatnya', 'potensial', 'untuk', 'wisata', 'namun', 'pengembangan', 'wisatanya', 'perlu', 'ditingkatkan']","['alhamdulillaah', 'sampai', 'juga', 'di', 'bukit', 'jaddih', 'bangkalan', 'pulau', 'madura', 'tempatnya', 'potensial', 'untuk', 'wisata', 'namun', 'pengembangan', 'wisatanya', 'perlu', 'ditingkatkan']"
pas pertama ke sini musim hujan air di danau nya bgs ke sini lg yg kdua pas musim kering tapi ttp bagus cuma debu aja jd kl pas musim panas ke sana sebaiknya pake masker,4 tahun lalu,Positif,bukit jaddih,"['pas', 'pertama', 'ke', 'sini', 'musim', 'hujan', 'air', 'di', 'danau', 'nya', 'bgs', 'ke', 'sini', 'lg', 'yg', 'kdua', 'pas', 'musim', 'kering', 'tapi', 'ttp', 'bagus', 'cuma', 'debu', 'aja', 'jd', 'kl', 'pas', 'musim', 'panas', 'ke', 'sana', 'sebaiknya', 'pake', 'masker']","['pas', 'pertama', 'ke', 'sini', 'musim', 'hujan', 'air', 'di', 'danau', 'nya', 'bagus', 'ke', 'sini', 'lagi', 'yang', 'kdua', 'pas', 'musim', 'kering', 'tapi', 'tetap', 'bagus', 'cuma', 'debu', 'saja', 'jadi', 'kalau', 'pas', 'musim', 'panas', 'ke', 'sana', 'sebaiknya', 'pakai', 'masker']","['pas', 'pertama', 'ke', 'sini', 'musim', 'hujan', 'air', 'di', 'danau', 'nya', 'bagus', 'ke', 'sini', 'lagi', 'yang', 'kdua', 'pas', 'musim', 'kering', 'tapi', 'tetap', 'bagus', 'cuma', 'debu', 'saja', 'jadi', 'kalau', 'pas', 'musim', 'panas', 'ke', 'sana', 'sebaiknya', 'pakai', 'masker']"
berada di daerah bangkalan madura akses jalan kesana bisa menggunakan motor maupun mobil tempatnya bagus tp hrs siap bawa payungatau topidan sunblock krn panasnya luar biasa,2 tahun lalu,Positif,bukit jaddih,"['berada', 'di', 'daerah', 'bangkalan', 'madura', 'akses', 'jalan', 'kesana', 'bisa', 'menggunakan', 'motor', 'maupun', 'mobil', 'tempatnya', 'bagus', 'tp', 'hrs', 'siap', 'bawa', 'payungatau', 'topidan', 'sunblock', 'krn', 'panasnya', 'luar', 'biasa']","['berada', 'di', 'daerah', 'bangkalan', 'madura', 'akses', 'jalan', 'kesana', 'bisa', 'menggunakan', 'motor', 'maupun', 'mobil', 'tempatnya', 'bagus', 'tapi', 'harus', 'siap', 'bawa', 'payungatau', 'topidan', 'sunblock', 'karena', 'panasnya', 'luar', 'biasa']","['berada', 'di', 'daerah', 'bangkalan', 'madura', 'akses', 'jalan', 'kesana', 'bisa', 'menggunakan', 'motor', 'maupun', 'mobil', 'tempatnya', 'bagus', 'tapi', 'harus', 'siap', 'bawa', 'payungatau', 'topidan', 'sunblock', 'karena', 'panasnya', 'luar', 'biasa']"
bukit kapur dengan bentukan yg tertata ada bentukan kotak yg besar menjulang ada tangga yg bisa dinaiki smp bagian atas ruangan tertentu ada galian yg membentuk semacam kubangan besar yg terisi air bila tidak hujan airnya menjadi,setahun lalu,Positif,bukit jaddih,"['bukit', 'kapur', 'dengan', 'bentukan', 'yg', 'tertata', 'ada', 'bentukan', 'kotak', 'yg', 'besar', 'menjulang', 'ada', 'tangga', 'yg', 'bisa', 'dinaiki', 'smp', 'bagian', 'atas', 'ruangan', 'tertentu', 'ada', 'galian', 'yg', 'membentuk', 'semacam', 'kubangan', 'besar', 'yg', 'terisi', 'air', 'bila', 'tidak', 'hujan', 'airnya', 'menjadi']","['bukit', 'kapur', 'dengan', 'bentukan', 'yang', 'tertata', 'ada', 'bentukan', 'kotak', 'yang', 'besar', 'menjulang', 'ada', 'tangga', 'yang', 'bisa', 'dinaiki', 'smp', 'bagian', 'atas', 'ruangan', 'tertentu', 'ada', 'galian', 'yang', 'membentuk', 'semacam', 'kubangan', 'besar', 'yang', 'terisi', 'air', 'bila', 'tidak', 'hujan', 'airnya', 'menjadi']","['bukit', 'kapur', 'dengan', 'bentukan', 'yang', 'tertata', 'ada', 'bentukan', 'kotak', 'yang', 'besar', 'menjulang', 'ada', 'tangga', 'yang', 'bisa', 'dinaiki', 'smp', 'bagian', 'atas', 'ruangan', 'tertentu', 'ada', 'galian', 'yang', 'membentuk', 'semacam', 'kubangan', 'besar', 'yang', 'terisi', 'air', 'bila', 'tidak', 'hujan', 'airnya', 'menjadi']"
saya kasih bintang dulu klo sudah tdk ada banyak pungli baru saya kasih bintang,4 tahun lalu,Positif,bukit jaddih,"['saya', 'kasih', 'bintang', 'dulu', 'klo', 'sudah', 'tdk', 'ada', 'banyak', 'pungli', 'baru', 'saya', 'kasih', 'bintang']","['saya', 'kasih', 'bintang', 'dulu', 'kalau', 'sudah', 'tidak', 'ada', 'banyak', 'pungli', 'baru', 'saya', 'kasih', 'bintang']","['saya', 'kasih', 'bintang', 'dulu', 'kalau', 'sudah', 'tidak', 'ada', 'banyak', 'pungli', 'baru', 'saya', 'kasih', 'bintang']"
tempatnya keren buat berlibur apalagi jembatan suramadu sudah gratis kalo kesini harus berhenti yang di goa pote masuknya per orang rp karena itu bener bener one stop destination gitu ada perahu ada parkiran ada toilet ada,4 tahun lalu,Positif,bukit jaddih,"['tempatnya', 'keren', 'buat', 'berlibur', 'apalagi', 'jembatan', 'suramadu', 'sudah', 'gratis', 'kalo', 'kesini', 'harus', 'berhenti', 'yang', 'di', 'goa', 'pote', 'masuknya', 'per', 'orang', 'rp', 'karena', 'itu', 'bener', 'bener', 'one', 'stop', 'destination', 'gitu', 'ada', 'perahu', 'ada', 'parkiran', 'ada', 'toilet', 'ada']","['tempatnya', 'keren', 'buat', 'berlibur', 'apalagi', 'jembatan', 'suramadu', 'sudah', 'gratis', 'kalau', 'kesini', 'harus', 'berhenti', 'yang', 'di', 'goa', 'pote', 'masuknya', 'per', 'orang', 'rp', 'karena', 'itu', 'benar', 'benar', 'one', 'henti', 'destination', 'begitu', 'ada', 'perahu', 'ada', 'parkiran', 'ada', 'toilet', 'ada']","['tempatnya', 'keren', 'buat', 'berlibur', 'apalagi', 'jembatan', 'suramadu', 'sudah', 'gratis', 'kalau', 'kesini', 'harus', 'berhenti', 'yang', 'di', 'goa', 'pote', 'masuknya', 'per', 'orang', 'rp', 'karena', 'itu', 'benar', 'benar', 'one', 'henti', 'destination', 'begitu', 'ada', 'perahu', 'ada', 'parkiran', 'ada', 'toilet', 'ada']"
tempatnya indah bagus banget view nya utk foto cuman lebih dikelola lagi aja sama pemerintah sama dikasih bimbingan ke warga sekitar karena disini banyak pungli pertama masuk ke kampungnya kena bayar trus masuk kearea tambangnya,2 tahun lalu,Positif,bukit jaddih,"['tempatnya', 'indah', 'bagus', 'banget', 'view', 'nya', 'utk', 'foto', 'cuman', 'lebih', 'dikelola', 'lagi', 'aja', 'sama', 'pemerintah', 'sama', 'dikasih', 'bimbingan', 'ke', 'warga', 'sekitar', 'karena', 'disini', 'banyak', 'pungli', 'pertama', 'masuk', 'ke', 'kampungnya', 'kena', 'bayar', 'trus', 'masuk', 'kearea', 'tambangnya']","['tempatnya', 'indah', 'bagus', 'banget', 'view', 'nya', 'untuk', 'foto', 'Cuma', 'lebih', 'dikelola', 'lagi', 'saja', 'sama', 'pemerintah', 'sama', 'dikasih', 'bimbingan', 'ke', 'warga', 'sekitar', 'karena', 'disini', 'banyak', 'pungli', 'pertama', 'masuk', 'ke', 'kampungnya', 'kena', 'bayar', 'terus', 'masuk', 'kearea', 'tambangnya']","['tempatnya', 'indah', 'bagus', 'banget', 'view', 'nya', 'untuk', 'foto', 'Cuma', 'lebih', 'dikelola', 'lagi', 'saja', 'sama', 'pemerintah', 'sama', 'dikasih', 'bimbingan', 'ke', 'warga', 'sekitar', 'karena', 'disini', 'banyak', 'pungli', 'pertama', 'masuk', 'ke', 'kampungnya', 'kena', 'bayar', 'terus', 'masuk', 'kearea', 'tambangnya']"
tempatnya agak mbrasak jalan masuknya agak rusak dan berdebu jadi siapin masker dan biasanya ada warga yang meminta biaya illegal seperti satu mobil sepuluh ribu sama per orang lima ribu dan itu nggak sekali tapi berkali kali seharusnya,sebulan lalu,Negatif,bukit jaddih,"['tempatnya', 'agak', 'mbrasak', 'jalan', 'masuknya', 'agak', 'rusak', 'dan', 'berdebu', 'jadi', 'siapin', 'masker', 'dan', 'biasanya', 'ada', 'warga', 'yang', 'meminta', 'biaya', 'illegal', 'seperti', 'satu', 'mobil', 'sepuluh', 'ribu', 'sama', 'per', 'orang', 'lima', 'ribu', 'dan', 'itu', 'nggak', 'sekali', 'tapi', 'berkali', 'kali', 'seharusnya']","['tempatnya', 'agak', 'mbrasak', 'jalan', 'masuknya', 'agak', 'rusak', 'dan', 'berdebu', 'jadi', 'siapin', 'masker', 'dan', 'biasanya', 'ada', 'warga', 'yang', 'meminta', 'biaya', 'illegal', 'seperti', 'satu', 'mobil', 'sepuluh', 'ribu', 'sama', 'per', 'orang', 'lima', 'ribu', 'dan', 'itu', 'tidak', 'sekali', 'tapi', 'berkali', 'kali', 'seharusnya']","['tempatnya', 'agak', 'mbrasak', 'jalan', 'masuknya', 'agak', 'rusak', 'dan', 'berdebu', 'jadi', 'siapin', 'masker', 'dan', 'biasanya', 'ada', 'warga', 'yang', 'meminta', 'biaya', 'illegal', 'seperti', 'satu', 'mobil', 'sepuluh', 'ribu', 'sama', 'per', 'orang', 'lima', 'ribu', 'dan', 'itu', 'tidak', 'sekali', 'tapi', 'berkali', 'kali', 'seharusnya']"
kepengen coba rekreasi di madura ternyata tambang batu kapur yang masih aktif parkir sekali masuk dipatok per orang rupiah menurut aku sih lumayan,4 tahun lalu,Positif,bukit jaddih,"['kepengen', 'coba', 'rekreasi', 'di', 'madura', 'ternyata', 'tambang', 'batu', 'kapur', 'yang', 'masih', 'aktif', 'parkir', 'sekali', 'masuk', 'dipatok', 'per', 'orang', 'rupiah', 'menurut', 'aku', 'sih', 'lumayan']","['mau', 'coba', 'rekreasi', 'di', 'madura', 'ternyata', 'tambang', 'batu', 'kapur', 'yang', 'masih', 'aktif', 'parkir', 'sekali', 'masuk', 'dipatok', 'per', 'orang', 'rupiah', 'menurut', 'aku', 'sih', 'lumayan']","['mau', 'coba', 'rekreasi', 'di', 'madura', 'ternyata', 'tambang', 'batu', 'kapur', 'yang', 'masih', 'aktif', 'parkir', 'sekali', 'masuk', 'dipatok', 'per', 'orang', 'rupiah', 'menurut', 'aku', 'sih', 'lumayan']"
keren banget tempatnyainstagramable tapi ada yg perlu diperbaikiyaitu akses jalan menuju lokasi ada bbrp titik,3 tahun lalu,Negatif,bukit jaddih,"['keren', 'banget', 'tempatnyainstagramable', 'tapi', 'ada', 'yg', 'perlu', 'diperbaikiyaitu', 'akses', 'jalan', 'menuju', 'lokasi', 'ada', 'bbrp', 'titik']","['keren', 'banget', 'tempatnyainstagramable', 'tapi', 'ada', 'yang', 'perlu', 'diperbaikiyaitu', 'akses', 'jalan', 'menuju', 'lokasi', 'ada', 'bbrp', 'titik']","['keren', 'banget', 'tempatnyainstagramable', 'tapi', 'ada', 'yang', 'perlu', 'diperbaikiyaitu', 'akses', 'jalan', 'menuju', 'lokasi', 'ada', 'bbrp', 'titik']"
udara panasakses jalan menuju lokasi masih sepipinter cari angel unt dapat foto yg bagus spot foto banyakbawa air putih sendiri krn tdk ada yg jualanudara yg panas bikin gampang lelah dan haus,4 tahun lalu,Negatif,bukit jaddih,"['udara', 'panasakses', 'jalan', 'menuju', 'lokasi', 'masih', 'sepipinter', 'cari', 'angel', 'unt', 'dapat', 'foto', 'yg', 'bagus', 'spot', 'foto', 'banyakbawa', 'air', 'putih', 'sendiri', 'krn', 'tdk', 'ada', 'yg', 'jualanudara', 'yg', 'panas', 'bikin', 'gampang', 'lelah', 'dan', 'haus']","['udara', 'panasakses', 'jalan', 'menuju', 'lokasi', 'masih', 'sepipinter', 'cari', 'angel', 'unt', 'dapat', 'foto', 'yang', 'bagus', 'spot', 'foto', 'banyakbawa', 'air', 'putih', 'sendiri', 'karena', 'tidak', 'ada', 'yang', 'jualanudara', 'yang', 'panas', 'bikin', 'gampang', 'lelah', 'dan', 'haus']","['udara', 'panasakses', 'jalan', 'menuju', 'lokasi', 'masih', 'sepipinter', 'cari', 'angel', 'unt', 'dapat', 'foto', 'yang', 'bagus', 'spot', 'foto', 'banyakbawa', 'air', 'putih', 'sendiri', 'karena', 'tidak', 'ada', 'yang', 'jualanudara', 'yang', 'panas', 'bikin', 'gampang', 'lelah', 'dan', 'haus']"
tempatnya panas biasa aja,4 tahun lalu,Negatif,bukit jaddih,"['tempatnya', 'panas', 'biasa', 'aja']","['tempatnya', 'panas', 'biasa', 'saja']","['tempatnya', 'panas', 'biasa', 'saja']"
sebenarnya areanya bebas untuk dijelajahi namun bila ada aktivitas penambangan dilarang untuk mendekat bagi yang ingin mendapat spot terbaik naik keatas bukit yang ada rumputnya tapi hati saat naik karena batuan kapur yang bisa longsor sewaktu waktu,2 tahun lalu,Positif,bukit jaddih,"['sebenarnya', 'areanya', 'bebas', 'untuk', 'dijelajahi', 'namun', 'bila', 'ada', 'aktivitas', 'penambangan', 'dilarang', 'untuk', 'mendekat', 'bagi', 'yang', 'ingin', 'mendapat', 'spot', 'terbaik', 'naik', 'keatas', 'bukit', 'yang', 'ada', 'rumputnya', 'tapi', 'hati', 'saat', 'naik', 'karena', 'batuan', 'kapur', 'yang', 'bisa', 'longsor', 'sewaktu', 'waktu']","['sebenarnya', 'areanya', 'bebas', 'untuk', 'dijelajahi', 'namun', 'bila', 'ada', 'aktivitas', 'penambangan', 'dilarang', 'untuk', 'mendekat', 'bagi', 'yang', 'ingin', 'mendapat', 'spot', 'terbaik', 'naik', 'keatas', 'bukit', 'yang', 'ada', 'rumputnya', 'tapi', 'hati', 'saat', 'naik', 'karena', 'batuan', 'kapur', 'yang', 'bisa', 'longsor', 'sewaktu', 'waktu']","['sebenarnya', 'areanya', 'bebas', 'untuk', 'dijelajahi', 'namun', 'bila', 'ada', 'aktivitas', 'penambangan', 'dilarang', 'untuk', 'mendekat', 'bagi', 'yang', 'ingin', 'mendapat', 'spot', 'terbaik', 'naik', 'keatas', 'bukit', 'yang', 'ada', 'rumputnya', 'tapi', 'hati', 'saat', 'naik', 'karena', 'batuan', 'kapur', 'yang', 'bisa', 'longsor', 'sewaktu', 'waktu']"
jalanan tempat agak susah lagi beruntung karena hari biasa dan siang hari jadi tidak ada pengunjung lain serasa vip mas nya baik banget nunjukin tempat foto semi tur guide sekaligus jd fotografer,4 tahun lalu,Negatif,bukit jaddih,"['jalanan', 'tempat', 'agak', 'susah', 'lagi', 'beruntung', 'karena', 'hari', 'biasa', 'dan', 'siang', 'hari', 'jadi', 'tidak', 'ada', 'pengunjung', 'lain', 'serasa', 'vip', 'mas', 'nya', 'baik', 'banget', 'nunjukin', 'tempat', 'foto', 'semi', 'tur', 'guide', 'sekaligus', 'jd', 'fotografer']","['jalanan', 'tempat', 'agak', 'susah', 'lagi', 'beruntung', 'karena', 'hari', 'biasa', 'dan', 'siang', 'hari', 'jadi', 'tidak', 'ada', 'pengunjung', 'lain', 'serasa', 'vip', 'mas', 'nya', 'baik', 'banget', 'nunjukin', 'tempat', 'foto', 'semi', 'tur', 'guide', 'sekaligus', 'jadi', 'fotografer']","['jalanan', 'tempat', 'agak', 'susah', 'lagi', 'beruntung', 'karena', 'hari', 'biasa', 'dan', 'siang', 'hari', 'jadi', 'tidak', 'ada', 'pengunjung', 'lain', 'serasa', 'vip', 'mas', 'nya', 'baik', 'banget', 'nunjukin', 'tempat', 'foto', 'semi', 'tur', 'guide', 'sekaligus', 'jadi', 'fotografer']"
sepi tidak ada pengunjung banyak pungli,8 bulan lalu,Negatif,bukit jaddih,"['sepi', 'tidak', 'ada', 'pengunjung', 'banyak', 'pungli']","['sepi', 'tidak', 'ada', 'pengunjung', 'banyak', 'pungli']","['sepi', 'tidak', 'ada', 'pengunjung', 'banyak', 'pungli']"
kalau masuk kesini bayarnya portal portal kampung portal masuk wisata portal masuk telaga utk tempat lumayan instragameble disana juga ada org juala mknan dan minuman ringan meskipun gk banyak yg jualan tp ada,4 tahun lalu,Positif,bukit jaddih,"['kalau', 'masuk', 'kesini', 'bayarnya', 'portal', 'portal', 'kampung', 'portal', 'masuk', 'wisata', 'portal', 'masuk', 'telaga', 'utk', 'tempat', 'lumayan', 'instragameble', 'disana', 'juga', 'ada', 'org', 'juala', 'mknan', 'dan', 'minuman', 'ringan', 'meskipun', 'gk', 'banyak', 'yg', 'jualan', 'tp', 'ada']","['kalau', 'masuk', 'kesini', 'bayarnya', 'portal', 'portal', 'kampung', 'portal', 'masuk', 'wisata', 'portal', 'masuk', 'telaga', 'untuk', 'tempat', 'lumayan', 'instragameble', 'disana', 'juga', 'ada', 'orang', 'juala', 'mknan', 'dan', 'minuman', 'ringan', 'meskipun', 'tidak', 'banyak', 'yang', 'jualan', 'tapi', 'ada']","['kalau', 'masuk', 'kesini', 'bayarnya', 'portal', 'portal', 'kampung', 'portal', 'masuk', 'wisata', 'portal', 'masuk', 'telaga', 'untuk', 'tempat', 'lumayan', 'instragameble', 'disana', 'juga', 'ada', 'orang', 'juala', 'mknan', 'dan', 'minuman', 'ringan', 'meskipun', 'tidak', 'banyak', 'yang', 'jualan', 'tapi', 'ada']"
tempat nya bagus panas lumayan menyengat kebersihan kurang terjaga,2 tahun lalu,Negatif,bukit jaddih,"['tempat', 'nya', 'bagus', 'panas', 'lumayan', 'menyengat', 'kebersihan', 'kurang', 'terjaga']","['tempat', 'nya', 'bagus', 'panas', 'lumayan', 'menyengat', 'kebersihan', 'kurang', 'terjaga']","['tempat', 'nya', 'bagus', 'panas', 'lumayan', 'menyengat', 'kebersihan', 'kurang', 'terjaga']"
kalo untuk tempat sangat bagus dan strategistapi sangat di sayangkan untuk menuju ke tempat tersebut kita harus mengocak lumayan uang yg harus di keluarkansperti tiket parkir yang begitu mahalsebelum masuk pasti di berhentikan untuk,2 tahun lalu,Negatif,bukit jaddih,"['kalo', 'untuk', 'tempat', 'sangat', 'bagus', 'dan', 'strategistapi', 'sangat', 'di', 'sayangkan', 'untuk', 'menuju', 'ke', 'tempat', 'tersebut', 'kita', 'harus', 'mengocak', 'lumayan', 'uang', 'yg', 'harus', 'di', 'keluarkansperti', 'tiket', 'parkir', 'yang', 'begitu', 'mahalsebelum', 'masuk', 'pasti', 'di', 'berhentikan', 'untuk']","['kalau', 'untuk', 'tempat', 'sangat', 'bagus', 'dan', 'strategistapi', 'sangat', 'di', 'sayangkan', 'untuk', 'menuju', 'ke', 'tempat', 'tersebut', 'kita', 'harus', 'mengocak', 'lumayan', 'uang', 'yang', 'harus', 'di', 'keluarkansperti', 'tiket', 'parkir', 'yang', 'begitu', 'mahalsebelum', 'masuk', 'pasti', 'di', 'berhentikan', 'untuk']","['kalau', 'untuk', 'tempat', 'sangat', 'bagus', 'dan', 'strategistapi', 'sangat', 'di', 'sayangkan', 'untuk', 'menuju', 'ke', 'tempat', 'tersebut', 'kita', 'harus', 'mengocak', 'lumayan', 'uang', 'yang', 'harus', 'di', 'keluarkansperti', 'tiket', 'parkir', 'yang', 'begitu', 'mahalsebelum', 'masuk', 'pasti', 'di', 'berhentikan', 'untuk']"
tempatnya bagus dan sangat berpotensi untuk pariwisata bisa di lihat dari foto yang yang sy upload pengunjung banyak yang dari surabaya sidoarjo dan daerah lainnya walopun yang,3 tahun lalu,Positif,bukit jaddih,"['tempatnya', 'bagus', 'dan', 'sangat', 'berpotensi', 'untuk', 'pariwisata', 'bisa', 'di', 'lihat', 'dari', 'foto', 'yang', 'yang', 'sy', 'upload', 'pengunjung', 'banyak', 'yang', 'dari', 'surabaya', 'sidoarjo', 'dan', 'daerah', 'lainnya', 'walopun', 'yang']","['tempatnya', 'bagus', 'dan', 'sangat', 'berpotensi', 'untuk', 'pariwisata', 'bisa', 'di', 'lihat', 'dari', 'foto', 'yang', 'yang', 'saya', 'upload', 'pengunjung', 'banyak', 'yang', 'dari', 'surabaya', 'sidoarjo', 'dan', 'daerah', 'lainnya', 'walopun', 'yang']","['tempatnya', 'bagus', 'dan', 'sangat', 'berpotensi', 'untuk', 'pariwisata', 'bisa', 'di', 'lihat', 'dari', 'foto', 'yang', 'yang', 'saya', 'upload', 'pengunjung', 'banyak', 'yang', 'dari', 'surabaya', 'sidoarjo', 'dan', 'daerah', 'lainnya', 'walopun', 'yang']"
tempat wisata dengan gua buatan cukup bagus untuk sekedar melepas lelah saat melintasi jembatan suramadu biaya akomodasi dr biaya masuk parkir kendaraan sampai tiket masuk cukup tinggi,4 tahun lalu,Negatif,bukit jaddih,"['tempat', 'wisata', 'dengan', 'gua', 'buatan', 'cukup', 'bagus', 'untuk', 'sekedar', 'melepas', 'lelah', 'saat', 'melintasi', 'jembatan', 'suramadu', 'biaya', 'akomodasi', 'dr', 'biaya', 'masuk', 'parkir', 'kendaraan', 'sampai', 'tiket', 'masuk', 'cukup', 'tinggi']","['tempat', 'wisata', 'dengan', 'saya', 'buatan', 'cukup', 'bagus', 'untuk', 'sekedar', 'melepas', 'lelah', 'saat', 'melintasi', 'jembatan', 'suramadu', 'biaya', 'akomodasi', 'dari', 'biaya', 'masuk', 'parkir', 'kendaraan', 'sampai', 'tiket', 'masuk', 'cukup', 'tinggi']","['tempat', 'wisata', 'dengan', 'saya', 'buatan', 'cukup', 'bagus', 'untuk', 'sekedar', 'melepas', 'lelah', 'saat', 'melintasi', 'jembatan', 'suramadu', 'biaya', 'akomodasi', 'dari', 'biaya', 'masuk', 'parkir', 'kendaraan', 'sampai', 'tiket', 'masuk', 'cukup', 'tinggi']"
jika tidak di kelola dg baik saya khawatir tempat ini makin lama akan punah krn banyaknya penambang batu yg membuat cepat habis bebatuan di tempat wisata ini,4 tahun lalu,Negatif,bukit jaddih,"['jika', 'tidak', 'di', 'kelola', 'dg', 'baik', 'saya', 'khawatir', 'tempat', 'ini', 'makin', 'lama', 'akan', 'punah', 'krn', 'banyaknya', 'penambang', 'batu', 'yg', 'membuat', 'cepat', 'habis', 'bebatuan', 'di', 'tempat', 'wisata', 'ini']","['jika', 'tidak', 'di', 'kelola', 'dengan', 'baik', 'saya', 'khawatir', 'tempat', 'ini', 'makin', 'lama', 'akan', 'punah', 'karena', 'banyaknya', 'penambang', 'batu', 'yang', 'membuat', 'cepat', 'habis', 'bebatuan', 'di', 'tempat', 'wisata', 'ini']","['jika', 'tidak', 'di', 'kelola', 'dengan', 'baik', 'saya', 'khawatir', 'tempat', 'ini', 'makin', 'lama', 'akan', 'punah', 'karena', 'banyaknya', 'penambang', 'batu', 'yang', 'membuat', 'cepat', 'habis', 'bebatuan', 'di', 'tempat', 'wisata', 'ini']"
panas sekali berdebu dan minim tempat berteduh,4 tahun lalu,Negatif,bukit jaddih,"['panas', 'sekali', 'berdebu', 'dan', 'minim', 'tempat', 'berteduh']","['panas', 'sekali', 'berdebu', 'dan', 'minim', 'tempat', 'berteduh']","['panas', 'sekali', 'berdebu', 'dan', 'minim', 'tempat', 'berteduh']"
ketemu banyak sekali pungli,3 tahun lalu,Negatif,bukit jaddih,"['ketemu', 'banyak', 'sekali', 'pungli']","['ketemu', 'banyak', 'sekali', 'pungli']","['ketemu', 'banyak', 'sekali', 'pungli']"
jalan menuju ke wisata rusak banget banyak pungli,2 tahun lalu,Positif,bukit jaddih,"['jalan', 'menuju', 'ke', 'wisata', 'rusak', 'banget', 'banyak', 'pungli']","['jalan', 'menuju', 'ke', 'wisata', 'rusak', 'banget', 'banyak', 'pungli']","['jalan', 'menuju', 'ke', 'wisata', 'rusak', 'banget', 'banyak', 'pungli']"
pas dateng ke sini hari senin cuma berdua sama temen sampe ke bukit sekitar jam an ternyata belum ada temen wisatawan yang lain berkunjung berasa wisata horor agak tapi setelah berkeliling beberapa saat datang rombongan,4 tahun lalu,Negatif,bukit jaddih,"['pas', 'dateng', 'ke', 'sini', 'hari', 'senin', 'cuma', 'berdua', 'sama', 'temen', 'sampe', 'ke', 'bukit', 'sekitar', 'jam', 'an', 'ternyata', 'belum', 'ada', 'temen', 'wisatawan', 'yang', 'lain', 'berkunjung', 'berasa', 'wisata', 'horor', 'agak', 'tapi', 'setelah', 'berkeliling', 'beberapa', 'saat', 'datang', 'rombongan']","['pas', 'datang', 'ke', 'sini', 'hari', 'senin', 'cuma', 'berdua', 'sama', 'teman', 'sampai', 'ke', 'bukit', 'sekitar', 'jam', 'an', 'ternyata', 'belum', 'ada', 'teman', 'wisatawan', 'yang', 'lain', 'berkunjung', 'berasa', 'wisata', 'horor', 'agak', 'tapi', 'setelah', 'berkeliling', 'beberapa', 'saat', 'datang', 'rombongan']","['pas', 'datang', 'ke', 'sini', 'hari', 'senin', 'cuma', 'berdua', 'sama', 'teman', 'sampai', 'ke', 'bukit', 'sekitar', 'jam', 'an', 'ternyata', 'belum', 'ada', 'teman', 'wisatawan', 'yang', 'lain', 'berkunjung', 'berasa', 'wisata', 'horor', 'agak', 'tapi', 'setelah', 'berkeliling', 'beberapa', 'saat', 'datang', 'rombongan']"
tempat wisata yg eksotis pemandangan bagus cocok buat foto foto saran kalo kesini pagi atau agak sore udaranya seger,4 tahun lalu,Negatif,bukit jaddih,"['tempat', 'wisata', 'yg', 'eksotis', 'pemandangan', 'bagus', 'cocok', 'buat', 'foto', 'foto', 'saran', 'kalo', 'kesini', 'pagi', 'atau', 'agak', 'sore', 'udaranya', 'seger']","['tempat', 'wisata', 'yang', 'eksotis', 'pemandangan', 'bagus', 'cocok', 'buat', 'foto', 'foto', 'saran', 'kalau', 'kesini', 'pagi', 'atau', 'agak', 'sore', 'udaranya', 'seger']","['tempat', 'wisata', 'yang', 'eksotis', 'pemandangan', 'bagus', 'cocok', 'buat', 'foto', 'foto', 'saran', 'kalau', 'kesini', 'pagi', 'atau', 'agak', 'sore', 'udaranya', 'seger']"
